iter	Passed	Remaining
0	2	625
1	3	565
2	5	582
3	7	543
4	8	508
5	10	530
6	12	525
7	14	526
8	17	564
9	19	561
10	21	563
11	22	551
12	24	542
13	26	545
14	28	541
15	30	536
16	32	547
17	34	544
18	37	548
19	38	538
20	40	531
21	41	525
22	42	517
23	44	511
24	46	508
25	47	503
26	49	499
27	50	494
28	52	493
29	54	491
30	56	489
31	58	493
32	60	492
33	62	490
34	64	487
35	66	484
36	68	483
37	70	483
38	71	480
39	74	483
40	76	483
41	78	483
42	80	481
43	82	479
44	85	483
45	88	487
46	90	487
47	92	484
48	93	479
49	94	474
50	96	470
51	97	465
52	99	462
53	102	466
54	103	460
55	105	459
56	107	458
57	109	455
58	110	451
59	111	447
60	113	443
61	114	441
62	116	437
63	118	437
64	120	434
65	121	431
66	122	427
67	124	425
68	125	421
69	128	422
70	129	419
71	131	415
72	133	416
73	135	414
74	137	411
75	137	406
76	139	403
77	140	399
78	141	396
79	143	395
80	145	393
81	146	390
82	148	389
83	150	387
84	152	385
85	154	383
86	155	381
87	157	378
88	158	376
89	159	373
90	161	370
91	163	369
92	165	367
93	166	365
94	169	366
95	171	365
96	173	363
97	175	360
98	177	359
99	178	357
100	179	353
101	181	351
102	182	349
103	183	346
104	185	343
105	187	344
106	189	342
107	191	341
108	193	339
109	195	338
110	197	336
111	198	333
112	200	331
113	202	329
114	204	329
115	206	327
116	208	325
117	209	323
118	211	321
119	212	319
120	214	317
121	216	315
122	217	313
123	219	311
124	220	309
125	223	308
126	225	307
127	227	305
128	228	303
129	231	302
130	233	301
131	235	299
132	236	297
133	238	295
134	240	293
135	241	291
136	243	289
137	245	288
138	247	286
139	249	284
140	250	282
141	252	280
142	253	278
143	256	278
144	258	276
145	260	274
146	261	272
147	263	270
148	264	268
149	265	265
150	267	263
151	269	262
152	270	260
153	273	258
154	274	256
155	276	254
156	278	253
157	280	252
158	283	251
159	285	249
160	287	248
161	289	246
162	290	244
163	292	242
164	294	241
165	296	239
166	299	238
167	301	236
168	303	235
169	305	233
170	306	231
171	308	229
172	310	227
173	311	225
174	314	224
175	316	222
176	318	221
177	319	219
178	321	217
179	322	215
180	324	213
181	325	211
182	327	209
183	329	207
184	332	206
185	333	204
186	335	202
187	337	200
188	339	199
189	340	197
190	343	195
191	345	194
192	347	192
193	348	190
194	350	188
195	353	187
196	354	185
197	355	183
198	358	181
199	360	180
200	361	178
201	363	176
202	364	174
203	366	172
204	368	170
205	370	169
206	372	167
207	374	165
208	377	164
209	378	162
210	379	160
211	380	158
212	383	156
213	384	154
214	387	153
215	389	151
216	390	149
217	392	147
218	393	145
219	394	143
220	397	141
221	398	140
222	401	138
223	403	136
224	407	135
225	408	133
226	409	131
227	411	129
228	412	127
229	413	125
230	415	124
231	417	122
232	418	120
233	419	118
234	421	116
235	422	114
236	423	112
237	426	111
238	427	109
239	429	107
240	430	105
241	432	103
242	433	101
243	436	100
244	438	98
245	440	96
246	441	94
247	443	92
248	445	91
249	447	89
250	449	87
251	450	85
252	452	84
253	453	82
254	455	80
255	457	78
256	458	76
257	459	74
258	461	73
259	463	71
260	465	69
261	466	67
262	468	65
263	470	64
264	471	62
265	472	60
266	474	58
267	475	56
268	477	55
269	479	53
270	480	51
271	483	49
272	485	48
273	487	46
274	489	44
275	490	42
276	493	40
277	494	39
278	496	37
279	497	35
280	499	33
281	501	31
282	503	30
283	504	28
284	506	26
285	508	24
286	509	23
287	510	21
288	512	19
289	513	17
290	516	15
291	518	14
292	521	12
293	522	10
294	524	8
295	526	7
296	527	5
297	529	3
298	531	1
299	533	0
